DatePrel,1303,1311,1301,1302,1312,1841,1295,1335,1314,1433,1313,1350,1319,1340,1339,1305,1342
2015-10-01,571.0,9.1,16.8,8.1,93.6,3.0,2.9,0.04,20.0,0.16,0.7,0.057,0.5,12.7,0.05,2.6,4.8
2015-10-09,566.0,9.2,16.6,8.0,94.3,2.6,3.8,0.06,20.0,0.16,0.5,0.069,0.5,10.4,0.04,9.6,4.8
2015-10-20,566.0,9.2,16.6,8.0,94.3,1000.0,3.8,0.06,20.0,0.16,0.5,0.069,0.5,10.4,0.04,9.6,4.8
2015-11-05,679.0,9.56,12.6,7.9,90.9,2.8,3.7,0.1,20.0,0.18,1.1,0.063,0.5,10.0,0.04,3.8,4.7
2015-12-07,539.0,11.86,8.3,8.2,100.6,3.1,6.4,0.06,20.0,0.15,0.5,0.059,0.5,15.9,0.05,3.6,5.2
2016-01-07,567.0,12.08,6.8,8.1,102.2,2.5,28.0,0.1,20.0,0.17,0.5,0.11,0.58,12.5,0.08,41.0,5.1
2016-02-18,372.0,11.3,6.2,8.0,92.8,2.6,45.0,0.02,20.0,0.14,0.6,0.094,0.5,9.9,0.03,33.0,5.5
2016-03-10,380.0,11.58,6.3,8.1,95.7,2.7,38.0,0.04,20.0,0.13,1.5,0.076,0.5,9.9,0.05,23.0,5.0
2016-04-22,358.0,8.63,13.6,7.8,84.0,3.4,23.0,0.04,20.0,0.14,1.1,0.082,0.53,7.0,0.04,30.0,5.2
2016-05-27,465.0,9.3,18.1,7.8,99.0,2.8,7.1,0.04,20.0,0.15,0.5,0.061,0.5,8.6,0.06,8.7,6.1
2016-05-30,457.0,9.16,17.0,8.0,96.7,2.3,23.0,0.05,20.0,0.19,1.0,0.094,0.5,8.3,0.07,19.0,5.1
2016-06-27,423.0,7.0,20.1,7.7,76.5,3.6,30.0,0.09,20.0,0.21,1.8,0.13,0.72,7.7,0.12,39.0,6.1
2016-07-18,547.0,8.99,23.1,7.9,106.4,2.5,1.4,0.03,20.0,0.19,1.3,0.059,0.5,8.5,0.03,1.8,5.2
2016-07-21,530.0,7.8,26.4,8.0,93.0,2.4,2.1,0.04,20.0,0.18,0.5,0.058,0.5,8.3,0.03,1.1,4.8
2016-08-19,602.0,8.3,25.6,7.8,104.0,2.5,2.6,0.03,20.0,0.15,0.7,0.063,0.5,7.7,0.04,1.7,5.3
2016-08-30,615.0,7.74,24.1,7.9,93.0,2.2,2.1,0.08,20.0,0.17,0.6,0.06,0.5,7.6,0.04,1.9,5.1
